order,aic,mse,rmse,mae
"(0, 1, 0)",3140.832540135974,526.7085746312852,22.95013234452658,20.385706990429927
"(0, 1, 1)",3119.4314644187325,425.23626412692556,20.62125757869596,16.937657750581828
"(0, 1, 2)",3117.9909238065493,387.94582838851596,19.696340482143274,15.641626680005002
"(0, 2, 0)",3481.0340332831283,43318.89449305523,208.13191608461983,187.99894394335578
"(0, 2, 1)",3141.836320045455,546.141806775542,23.369677078974412,20.942356949280367
"(0, 2, 2)",3121.1265546234263,440.3165809659344,20.983721809200922,17.506331198792505
"(1, 1, 0)",3123.782524948315,460.7731160828204,21.465626384590326,18.18053869732532
"(1, 1, 1)",3105.8105318402695,298.0040078844493,17.262792586497973,11.11282651115871
"(1, 1, 2)",3101.6504041529606,290.1204271487627,17.03292186175827,10.716436270765266
"(1, 2, 0)",3330.633840389839,18163.878165837155,134.77343271519484,123.66248742215383
"(1, 2, 1)",3125.227201122737,474.7340316602453,21.788392131138206,18.649498298665822
"(1, 2, 2)",3111.303282617145,326.1674313424248,18.060106072291624,12.161198408008334
"(2, 1, 0)",3121.5790284702352,431.321559394788,20.768282533584426,17.21456970957456
"(2, 1, 1)",3101.97603750734,290.5910469249362,17.046731268044798,10.739649675528105
"(2, 1, 2)",3103.708232407183,291.105939742914,17.06182697552973,10.846950694959423
"(2, 2, 0)",3265.8928359031347,13416.669049700342,115.83034597936907,106.93686843146865
"(2, 2, 1)",3123.237740291749,441.8616265464598,21.0205049070297,17.607976154171002
"(2, 2, 2)",3125.8952936274964,507.1816907676698,22.520694722136568,19.85517406934798
